rank,country,player,First Name,Last Name,age,points,tourn.played
1, ROU ,Simona Halep,Simona,Halep,27,6641,16
2, GER ,Angelique Kerber,Angelique,Kerber,30,5875,19
3, DEN ,Caroline Wozniacki,Caroline,Wozniacki,28,5436,19
4, JPN ,Naomi Osaka,Naomi,Osaka,21,5270,21
5, USA ,Sloane Stephens,Sloane,Stephens,25,5023,21
6, UKR ,Elina Svitolina,Elina,Svitolina,24,4940,19
7, CZE ,Karolina Pliskova,Karolina,Pliskova,26,4750,23
8, CZE ,Petra Kvitova,Petra,Kvitova,28,4630,22
9, NED ,Kiki Bertens,Kiki,Bertens,27,4360,25
10, RUS ,Daria Kasatkina,Daria,Kasatkina,21,3415,25
11, BLR ,Aryna Sabalenka,Aryna,Sabalenka,20,3365,25
12, BEL ,Elise Mertens,Elise,Mertens,23,3165,24
13, LAT ,Anastasija Sevastova,Anastasija,Sevastova,28,3160,23
14, GER ,Julia Goerges,Julia,Goerges,30,3055,24
15, AUS ,Ashleigh Barty,Ashleigh,Barty,22,2985,20
16, USA ,Serena Williams,Serena,Williams,37,2976,10
17, USA ,Madison Keys,Madison,Keys,23,2976,16
18, ESP ,Garbi¤e Muguruza,Garbi¤e,Muguruza,25,2910,22
19, FRA ,Caroline Garcia,Caroline,Garcia,25,2660,23
20, EST ,Anett Kontaveit,Anett,Kontaveit,23,2525,24
21, CHN ,Qiang Wang,Qiang,Wang,26,2485,23
22, LAT ,Jelena Ostapenko,Jelena,Ostapenko,21,2362,22
23, ESP ,Carla Su rez Navarro,Carla,Su rez Navarro,30,2153,21
24, UKR ,Lesia Tsurenko,Lesia,Tsurenko,29,2005,20
25, ROU ,Mihaela Buzarnescu,Mihaela,Buzarnescu,30,1820,26
26, SVK ,Dominika Cibulkova,Dominika,Cibulkova,29,1805,20
27, ITA ,Camila Giorgi,Camila,Giorgi,27,1800,20
28, TPE ,Su-Wei Hsieh,Su-Wei,Hsieh,33,1640,24
29, CRO ,Donna Vekic,Donna,Vekic,22,1580,25
30, RUS ,Maria Sharapova,Maria,Sharapova,31,1552,13
31, CRO ,Petra Martic,Petra,Martic,27,1465,20
32, CZE ,Barbora Strycova,Barbora,Strycova,32,1430,23
